Gene ID	Name	Organ	Cell type
AT4G09020	ISA3	Root	Proximal Columella
AT3G42670	CHR38	Root	Proximal Columella
AT5G01670	AT5G01670	Root	Proximal Columella
AT3G48670	IDN2	Root	Proximal Columella
AT1G49475	AT1G49475	Root	Proximal Columella
AT5G60520	AT5G60520	Root	Proximal Lateral Root Cap
AT1G54030	MVP1	Root	Proximal Lateral Root Cap
AT5G44440	AT5G44440	Root	Proximal Lateral Root Cap
AT4G37160	sks15	Root	Proximal Lateral Root Cap
AT1G54010	GLL23	Root	Proximal Lateral Root Cap
AT1G44760	AT1G44760	Root	Proximal Lateral Root Cap
AT5G10980	HTR8	Root	Proximal Lateral Root Cap
AT5G63650	SRK2H	Root	Proximal Lateral Root Cap
AT2G25980	JAL20	Root	Proximal Lateral Root Cap
AT5G07040	ATL69	Root	Proximal Lateral Root Cap
AT4G30080	ARF16	Root	Proximal Lateral Root Cap
AT2G23010	SCPL9	Root	Proximal Lateral Root Cap
AT3G14530	GGPPS9	Root	Proximal Lateral Root Cap
AT3G14510	AT3G14510	Root	Proximal Lateral Root Cap
AT5G62340	AT5G62340	Root	Proximal Lateral Root Cap
AT4G11780	AT4G11780	Root	Proximal Lateral Root Cap
AT1G33750	TPS22	Root	Proximal Lateral Root Cap
AT5G66460	MAN7	Root	Proximal Lateral Root Cap
AT1G33540	SCPL18	Root	Proximal Lateral Root Cap
AT3G16410	NSP4	Root	Proximal Lateral Root Cap
AT3G07320	AT3G07320	Root	Proximal Lateral Root Cap
AT5G48940	RCH1	Root	Proximal Lateral Root Cap
AT1G52680	AT1G52680	Root	Proximal Lateral Root Cap
AT1G74490	AT1G74490	Root	Proximal Lateral Root Cap
AT1G75710	AT1G75710	Root	Proximal Lateral Root Cap
AT4G11610	AT4G11610	Root	Proximal Lateral Root Cap
AT1G80370	CYCA2-4	Root	Proximal Lateral Root Cap
AT5G66690	UGT72E2	Root	Proximal Lateral Root Cap
AT5G26230	MAKR1	Root	Proximal Lateral Root Cap
AT5G49170	AT5G49170	Root	Proximal Lateral Root Cap
AT3G02590	HDF7	Root	Proximal Lateral Root Cap
AT1G77200	ERF037	Root	Proximal Lateral Root Cap
AT1G44180	AT1G44180	Root	Proximal Lateral Root Cap
AT1G15330	PV42A	Root	Proximal Lateral Root Cap
AT2G43535	ATTI4	Root	Proximal Lateral Root Cap
AT2G22770	NAI1	Root	Proximal Lateral Root Cap
AT3G20590	AT3G20590	Root	Proximal Lateral Root Cap
AT5G05080	UBC22	Root	Proximal Lateral Root Cap
AT5G66800	AT5G66800	Root	Proximal Lateral Root Cap
AT5G50300	AZG2	Root	Proximal Lateral Root Cap
AT5G53290	CRF3	Root	Proximal Lateral Root Cap
AT4G30610	SCPL24	Root	Proximal Lateral Root Cap
AT1G66280	BGLU22	Root	Proximal Lateral Root Cap
AT3G23670	KIN12B	Root	Proximal Lateral Root Cap
AT2G41800	AT2G41800	Root	Proximal Lateral Root Cap
AT1G68400	AT1G68400	Root	Proximal Lateral Root Cap
AT3G23890	TOP2	Root	Proximal Lateral Root Cap
AT4G28220	NDB1	Root	Proximal Lateral Root Cap
AT5G13870	XTH5	Root	Proximal Lateral Root Cap
AT1G07290	GONST2	Root	Proximal Lateral Root Cap
AT1G07640	OBP2	Root	Phloem
AT1G07710	AT1G07710	Root	Phloem
AT1G16390	Oct3	Root	Differentiating endodermis
AT1G71930	VND7	Root	Xylem
AT1G79840	GL2	Root	Atrichoblast
AT2G31310	LBD14	Root	Pericycle Initials
AT2G34140	AT2G34140	Root	stele procambium
AT2G40260	AT2G40260	Root	Cortex
AT2G46570	LAC6	Root	Xylem
AT3G20840	PLT1	Root	Stem Cell Niche
AT3G55550	LECRKS4	Root	Quiescent Center + Columella
AT4G28100	AT4G28100	Root	Endodermis
AT4G29100	BHLH68	Root	Pericycle
AT4G30080	AT4G30080	Root	Root cap
AT5G37800	RSL1	Root	Trichoblast
AT5G53730	NHL26	Root	Xylem
AT5G04080	AT5G04080	Root	Phloem
AT3G54220	SCR	Root	Endodermis
AT3G54220	SCR	Root	Endodermis
AT1G79430	APL	Root	Phloem
AT5G49270	COBL9	Root	Trichoblast
AT5G49270	COBL9	Root	Trichoblast
AT4G37940	AGL21	Root	Procambium, Columella
AT5G19530	ACL5	Root	Metaxylem
AT3G26120	TEL1	Root	Quiescent Center
AT3G26120	TEL1	Root	Quiescent Center
AT4G13390	EXT12	Root	Trichoblast
AT4G13390	EXT12	Root	Trichoblast
AT1G62510	AT1G62510	Root	Cortex
AT1G62510	AT1G62510	Root	Cortex
AT1G62500	CO2	Root	Cortex
AT1G62500	CO2	Root	Cortex
AT5G57620	MYB36	Root	Endodermis
AT5G57620	MYB36	Root	Endodermis
AT1G33280	BRN1	Root	Columella (1st Outer Layer) + LRC (1st +2nd Outer Layer)
AT1G33280	BRN1	Root	Columella (1st Outer Layer) + LRC (1st +2nd Outer Layer)
AT4G10350	BRN2	Root	Columella (1st Outer Layer) + LRC (1st Outer Layer)
AT4G10350	BRN2	Root	Columella (1st Outer Layer) + LRC (1st Outer Layer)
AT1G79580	SMB	Root	Columella + LRC
AT1G79580	SMB	Root	Columella + LRC
AT1G71930	VND7	Root	Protoxylem
AT1G79840	GL2	Root	Atrichoblast
AT5G14750	WER	Root	LRC, Atrichoblast
AT5G14750	WER	Root	LRC, Atrichoblast
AT5G43040	AT5G43040	Root	Columella (1st Outer Layer) + LRC (1st Outer Layer) + Epidermis
AT2G28810	AT2G28810	Root	Phloem
AT2G22850	bZIP6	Root	Phloem; Phloem Pole Pericycle
AT2G22850	bZIP6	Root	Phloem;Phloem Pole Pericycle
AT3G20880	AT3G20880	Root	Quiescent Center
AT3G20880	AT3G20880	Root	Quiescent Center
AT5G17800	MTB56	Root	Quiescent Center
AT5G58010	LRL3	Root	Trichoblast
AT5G58010	LRL3	Root	Trichoblast
AT4G36160	VND2	Root	Xylem
AT5G12870	MYB46	Root	Xylem
AT2G18380	GATA20	Root	Phloem Sieve Element
AT3G25710	TMO5	Root	Protoxylem
AT2G04025	RGF3	Root	Proximal Columella
AT5G60810	RGF1	Root	Quiescent Center
AT5G60810	RGF1	Root	Quiescent Center
AT1G66470	RHD6	Root	Trichoblast
AT1G66470	RHD6	Root	Trichoblast
AT5G37800	RSL1	Root	Trichoblast
AT5G62940	PEAR1/DOF2.4	Root	Phloem Sieve Element
AT4G30450	XPP	Root	Xylem Pole Pericycle
AT3G61930	AT3G61930	Root	Distal Columella
AT1G17400	DRO3/LZY2	Root	Columella (1-5th Outer Layer)
AT1G17400	DRO3/LZY2	Root	Columella (1-5th Outer Layer)
AT3G52490	SMXL3	Root	Procambium and Phloem
AT5G57130	SMXL5	Root	Procambium and Phloem
AT3G28540	AT3G28540	Root	Columella (1-3th Outer Layer)
AT3G28540	AT3G28540	Root	Columella (1-3th Outer Layer)
AT5G48130	AT5G48130	Root	Columella (1-4th Outer Layer) + LRC (3 Vertical Layers from Columella)
AT5G48130	AT5G48130	Root	Columella (1-4th Outer Layer) + LRC (3 Vertical Layers from Columella)
AT2G40260	AT2G40260	Root	Cortex
AT2G29330	TRI	Root	Cortex and Endodermis
AT3G56220	AT3G56220	Root	Cortex and Endodermis
AT2G29330	AT2G29330	Root	Cortex and Endodermis
AT3G56220	AT3G56220	Root	Cortex and Endodermis
AT1G16390	AT1G16390	Root	Endodermis
AT1G30750	AT1G30750	Root	Endodermis
AT4G16270	PER40	Root	Endodermis
AT5G46600	ALMT13	Root	Endodermis
AT1G16390	AT1G16390	Root	Endodermis
AT1G30750	AT1G30750	Root	Endodermis
AT4G16270	PER40	Root	Endodermis
AT5G46600	ALMT13	Root	Endodermis
AT2G31310	LBD14	Root	Pericycle
AT5G09760	AT5G09760	Root	Pericycle
AT4G36410	UBC17	Root	Phloem
AT4G36410	UBC17	Root	Phloem
AT5G04080	AT5G04080	Root	Phloem
AT1G04240	SHY2	Root	Procambium and Xylem
AT1G71050	HIPP20	Root	Procambium and Xylem
AT1G04240	SHY2	Root	Procambium and Xylem
AT1G71050	HIPP20	Root	Procambium and Xylem
AT4G18780	CESA8	Root	Protoxylem
AT3G60650	AT3G60650	Root	Quiescent Center + Columella
AT3G55550	LECRKS4	Root	Quiescent Center + Columella
AT3G60650	AT3G60650	Root	Quiescent Center + Columella
AT2G36120	DOT1	Root	Xylem Pole Pericycle
AT2G36100	CASP1	Root	Casparian strip, Endodermis
AT3G11550	CASP2	Root	Casparian strip, Endodermis
AT2G27370	CASP3	Root	Casparian strip, Endodermis
AT5G06200	CASP4	Root	Casparian strip, Endodermis
AT5G15290	CASP5	Root	Casparian strip, Endodermis
AT2G28670	ESB1	Root	Casparian strip, Endodermis
AT1G68640	PAN	Root	QC
AT2G03830	RGF8	Root	QC
AT3G26120	TEL1	Root	QC
AT5G17430	BBM	Root	QC
AT5G23780	DUF9	Root	QC
AT5G62165	AGL2	Root	QC
AT5G14750	AtWER	Root	Epidermis
AT1G09750	AtPEP	Root	Cortex
AT2G18380	AtS32	Root	Phloem
AT5G12870	AtS18	Root	Xylem
AT3G59420	ACR4	Root	Meristematic zone, Epidermis, Columella
AT1G70940	PIN3	Root	Meristematic zone, Pericycle, Xylem, Phloem
AT1G19850	MP	Root	Meristematic zone, Xylem, QC
AT4G39400	BRI1	Root	Meristematic zone, Cortex, Epidermis
AT5G10510	PLT3	Root	Meristematic zone, Cortex, Epidermis
AT3G20840	PLT1	Root	Meristematic zone, QC
AT5G03150	JKD	Root	Cortex, Procambium
AT2G01420	PIN4	Root	Cortex, Columella, Pericycle, Xylem
AT1G73590	PIN1	Root	Meristematic cortex, Pericycle, Phloem, Xylem
AT3G54220	SCR	Root	Endodermis
AT3G11260	WOX5	Root	QC
AT4G37650	SHR	Root	Stele
AT1G04550	BDL	Root	Stele
AT5G19040	IPT5	Root	Phloem, Pericycle
AT4G32880	ATHB8	Root	Vasculature
AT1G79430	APL	Root	Phloem
AT5G16530	PIN5	Root	Phloem, Companion cells
AT5G13290	CRN	Root	Phloem, Meristematic zone
AT2G01830	WOL	Root	Xylem Pole Pericycle, Cortex
AT5G60690	REV	Root	Xylem, Pericycle
AT1G30490	PHV	Root	Xylem, Procambium
AT2G34710	PHB	Root	Vasculature
AT1G51190	PLT2	Root	Meristematic zone, QC
AT5G55930	OPT1	Seed	embryonic cotyledons
AT4G16370	OPT3	Seed	embryonic cotyledons
AT5G64410	OPT4	Seed	embryonic cotyledons
AT4G27730	OPT6	Seed	embryonic cotyledons
AT4G10770  	OPT7	Seed	embryonic cotyledons
AT5G55930	OPT1	Seed	embryonic cotyledons
AT1G15550	GA 3-OX1	Seed/ling	Hypocotyl
AT4G30290	XTH19	Seed/ling	Embryo radicle
AT4G30290	XTH19	Seed/ling	Hypocotyl
AT5G13930	ATCHS,CHS,CHALCONE SYNTHASE		Adaxial Epidermis
AT5G62210	Embryo-specific protein 3, (ATS3)		Adaxial Epidermis
AT5G62210	Embryo-specific protein 3, (ATS3)		Adaxial Epidermis
AT2G42840	PROTODERMAL FACTOR 1		Protoderm
AT2G42840	PROTODERMAL FACTOR 1		Trichomes
